nik,section,sub_section,dedicated
11001,Inspeksi,Cluster,0
11001,Inspeksi,Stickering,0
11001,Inspeksi,Rework,0
11006,Inspeksi,Camera Offline,1
11006,Inspeksi,Meja,0
11006,Inspeksi,Shrink,0
11006,Inspeksi,Repallet,0
11006,Inspeksi,Pembuatan Partisi,0
11006,Inspeksi,Cleaning Pallet,0
11008,Delivery,Dispatcer,1
11008,Delivery,Loader,0
11024,Inspeksi,Camera Offline,1
11024,Inspeksi,Meja,0
11024,Inspeksi,Shrink,0
11024,Inspeksi,Cluster,0
11024,Inspeksi,Stickering,0
11024,Inspeksi,Rework,0
11027,Inspeksi,Camera Offline,1
11027,Inspeksi,Meja,0
11027,Inspeksi,Shrink,0
11027,Inspeksi,Cluster,0
11027,Inspeksi,Stickering,0
11027,Inspeksi,Rework,0
11041,Inspeksi,Camera Offline,1
11041,Inspeksi,Meja,0
11041,Inspeksi,Cluster,0
11041,Inspeksi,Stickering,0
11041,Inspeksi,Rework,0
11042,Inspeksi,Camera Offline,1
11042,Inspeksi,Meja,0
11042,Inspeksi,Cluster,0
11042,Inspeksi,Stickering,0
11042,Inspeksi,Rework,0
11045,Inspeksi,Camera Offline,1
11045,Inspeksi,Meja,0
11045,Inspeksi,Shrink,0
11045,Inspeksi,Cluster,0
11045,Inspeksi,Stickering,0
11045,Inspeksi,Rework,0
11047,Inspeksi,Camera Offline,1
11047,Inspeksi,Meja,0
11047,Inspeksi,Shrink,0
11047,Inspeksi,Cluster,0
11047,Inspeksi,Stickering,0
11047,Inspeksi,Rework,0
11048,Inspeksi,Camera Offline,1
11048,Inspeksi,Meja,0
11048,Inspeksi,Shrink,0
11048,Inspeksi,Cluster,0
11048,Inspeksi,Stickering,0
11048,Inspeksi,Rework,0
11053,Inspeksi,Camera Offline,1
11053,Inspeksi,Meja,0
11053,Inspeksi,Shrink,0
11053,Inspeksi,Cluster,0
11053,Inspeksi,Stickering,0
11053,Inspeksi,Rework,0
11064,Inspeksi,Camera Offline,1
11064,Inspeksi,Meja,0
11064,Inspeksi,Shrink,0
11064,Inspeksi,Cluster,0
11064,Inspeksi,Stickering,0
11067,Inspeksi,Camera Offline,1
11067,Inspeksi,Meja,0
11067,Inspeksi,Shrink,0
11067,Inspeksi,Repallet,0
11067,Inspeksi,Pembuatan Partisi,0
11067,Inspeksi,Cleaning Pallet,0
11073,RM/PM,Buffer Room,1
11073,RM/PM,Penimbangan,0
11074,RM/PM,Penimbangan,1
11078,Inspeksi,Camera Offline,1
11078,Inspeksi,Meja,0
11078,Inspeksi,Shrink,0
11078,Inspeksi,Repallet,0
11078,Inspeksi,Pembuatan Partisi,0
11078,Inspeksi,Cleaning Pallet,0
11089,Inspeksi,Camera Offline,1
11089,Inspeksi,Meja,0
11089,Inspeksi,Shrink,0
11089,Inspeksi,Repallet,0
11089,Inspeksi,Pembuatan Partisi,0
11089,Inspeksi,Cleaning Pallet,0
11090,Inspeksi,Camera Offline,1
11090,Inspeksi,Meja,0
11090,Inspeksi,Shrink,0
11090,Inspeksi,Repallet,0
11090,Inspeksi,Pembuatan Partisi,0
11090,Inspeksi,Cleaning Pallet,0
11091,Inspeksi,Camera Offline,1
11091,Inspeksi,Pembuatan Partisi,0
11091,Inspeksi,Cleaning Pallet,0
11094,Finished goods,Penandaan,1
11098,Inspeksi,Camera Offline,1
11098,Inspeksi,Meja,0
11098,Inspeksi,Shrink,0
11098,Inspeksi,Cluster,0
11098,Inspeksi,Stickering,0
11108,Operator Forklift,Operator Forklift,1
11118,Inspeksi,Camera Offline,1
11118,Inspeksi,Meja,0
11118,Inspeksi,Shrink,0
11118,Inspeksi,Repallet,0
11118,Inspeksi,Pembuatan Partisi,0
11118,Inspeksi,Cleaning Pallet,0
11132,Inspeksi,Camera Offline,1
11132,Inspeksi,Meja,0
11132,Inspeksi,Shrink,0
11132,Inspeksi,Repallet,0
11132,Inspeksi,Pembuatan Partisi,0
11132,Inspeksi,Cleaning Pallet,0
11136,Inspeksi,Camera Offline,1
11136,Inspeksi,Meja,0
11136,Inspeksi,Shrink,0
11136,Inspeksi,Cluster,0
11136,Inspeksi,Stickering,0
11136,Inspeksi,Rework,0
11146,Inspeksi,Camera Offline,1
11146,Inspeksi,Meja,0
11146,Inspeksi,Shrink,0
11146,Inspeksi,Repallet,0
11146,Inspeksi,Pembuatan Partisi,0
11146,Inspeksi,Cleaning Pallet,0
11159,Delivery,Dispatcer,1
11159,Delivery,Loader,0
11161,Delivery,Dispatcer,1
11161,Delivery,Loader,0
11178,Finished goods,Checker SAP,1
11178,Finished goods,Penandaan,0
11178,Finished goods,Putway,0
11178,Finished goods,Picker,0
11179,Inspeksi,Camera Offline,1
11179,Inspeksi,Meja,0
11179,Inspeksi,Cluster,0
11179,Inspeksi,Stickering,0
11179,Inspeksi,Rework,0
11186,Inspeksi,Camera Offline,1
11186,Inspeksi,Meja,0
11186,Inspeksi,Shrink,0
11186,Inspeksi,Cluster,0
11186,Inspeksi,Stickering,0
11186,Inspeksi,Rework,0
11191,Inspeksi,Camera Offline,1
11191,Inspeksi,Meja,0
11191,Inspeksi,Shrink,0
11191,Inspeksi,Cluster,0
11191,Inspeksi,Stickering,0
11191,Inspeksi,Rework,0
11192,Inspeksi,Camera Offline,1
11192,Inspeksi,Meja,0
11192,Inspeksi,Shrink,0
11192,Inspeksi,Cluster,0
11192,Inspeksi,Stickering,0
11192,Inspeksi,Rework,0
11193,Inspeksi,Camera Offline,1
11193,Inspeksi,Meja,0
11193,Inspeksi,Shrink,0
11193,Inspeksi,Cluster,0
11193,Inspeksi,Stickering,0
11193,Inspeksi,Rework,0
11198,Inspeksi,Camera Offline,1
11198,Inspeksi,Meja,0
11198,Inspeksi,Shrink,0
11198,Inspeksi,Cluster,0
11198,Inspeksi,Stickering,0
11198,Inspeksi,Rework,0
11198,Inspeksi,Leader Meja,0
11202,Inspeksi,Camera Offline,1
11202,Inspeksi,Meja,0
11202,Inspeksi,Shrink,0
11202,Inspeksi,Cluster,0
11202,Inspeksi,Stickering,0
11202,Inspeksi,Rework,0
11224,Inspeksi,Camera Offline,1
11224,Inspeksi,Meja,0
11224,Inspeksi,Cluster,0
11224,Inspeksi,Stickering,0
11224,Inspeksi,Rework,0
11245,Inspeksi,Camera Offline,1
11245,Inspeksi,Meja,0
11245,Inspeksi,Shrink,0
11245,Inspeksi,Cluster,0
11245,Inspeksi,Stickering,0
11245,Inspeksi,Rework,0
11249,Inspeksi,Camera Offline,1
11249,Inspeksi,Meja,0
11249,Inspeksi,Repallet,0
11249,Inspeksi,Pembuatan Partisi,0
11249,Inspeksi,Cleaning Pallet,0
11299,Operator Forklift,Operator Forklift,1
11301,Operator Forklift,Operator Forklift,1
11302,Operator Forklift,Operator Forklift,1
11319,Operator Forklift,Operator Forklift,1
11321,Operator Forklift,Operator Forklift,1
11324,Operator Forklift,Operator Forklift,1
11329,Inspeksi,Camera Offline,1
11329,Inspeksi,Meja,0
11329,Inspeksi,Shrink,0
11329,Inspeksi,Cluster,0
11329,Inspeksi,Stickering,0
11329,Inspeksi,Rework,0
11334,Inspeksi,Camera Offline,1
11334,Inspeksi,Meja,0
11334,Inspeksi,Shrink,0
11334,Inspeksi,Repallet,0
11334,Inspeksi,Pembuatan Partisi,0
11334,Inspeksi,Cleaning Pallet,0
11341,Inspeksi,Camera Offline,1
11341,Inspeksi,Meja,0
11341,Inspeksi,Shrink,0
11341,Inspeksi,Cluster,0
11341,Inspeksi,Stickering,0
11341,Inspeksi,Rework,0
11342,RM/PM,Buffer Room,1
11342,RM/PM,Penimbangan,0
11343,Inspeksi,Camera Offline,1
11343,Inspeksi,Repallet,0
11343,Inspeksi,Pembuatan Partisi,0
11343,Inspeksi,Cleaning Pallet,0
11345,Delivery,Dispatcer,1
11345,Delivery,Loader,0
11347,Loader,Loader,1
11348,Loader,Loader,1
11348,Loader,Bongkar Material/Cap/Juice,0
11350,Loader,Loader,1
11363,Delivery,Checker SAP,1
11363,Delivery,Picker,0
11364,Inspeksi,Camera Offline,1
11364,Inspeksi,Meja,0
11364,Inspeksi,Shrink,0
